ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
114983;GM0344;2012MM09;318750;474;135;3469;2118;1351;2119;1528;591;;1689;    0.53;4164;    1.32;320439
114984;GM0344;2012MM10;320439;451;149;2169;1778;391;1756;1362;394;;715;    0.22;4879;    1.54;321154
114985;GM0344;2012MM11;321154;404;166;1744;1504;240;1475;1240;235;;507;    0.16;5386;    1.70;321661
114986;GM0344;2012MM12;321661;405;156;1622;1445;177;1622;1304;318;6;255;    0.08;5641;    1.78;321916
114987;GM0344;2012JJ00;316275;5117;1855;23971;19259;4712;21598;16944;4654;6;5641;    1.78;5641;    1.78;321916
114988;GM0344;2013MM01;321916;431;196;1983;1684;299;1897;1455;442;;321;    0.10;321;    0.10;322237
114989;GM0344;2013MM02;322237;402;163;2247;1603;644;1749;1280;469;;737;    0.23;1058;    0.33;322974
114990;GM0344;2013MM03;322974;386;177;1731;1503;228;1596;1281;315;;344;    0.11;1402;    0.44;323318
114991;GM0344;2013MM04;323318;360;166;1523;1294;229;1456;1151;305;;261;    0.08;1663;    0.52;323579
114992;GM0344;2013MM05;323579;396;147;1360;1121;239;1520;1205;315;;89;    0.03;1752;    0.54;323668
114993;GM0344;2013MM06;323668;394;155;1406;1191;215;1561;1215;346;;84;    0.03;1836;    0.57;323752
114994;GM0344;2013MM07;323752;448;164;1958;1606;352;2185;1666;519;;57;    0.02;1893;    0.59;323809
114995;GM0344;2013MM08;323809;462;134;2767;2403;364;2190;1728;462;;905;    0.28;2798;    0.87;324714
114996;GM0344;2013MM09;324714;431;125;3787;2352;1435;2504;1676;828;;1589;    0.49;4387;    1.36;326303
114997;GM0344;2013MM10;326303;405;139;2484;2066;418;1881;1530;351;;869;    0.27;5256;    1.63;327172
